,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
10,Norris Cole,21.0,13.1,16.5,3.4
4,Kendrick Perkins,21.0,13.5,16.8,3.3
1,Alonzo Gee,20.8,14.2,17.3,3.1
3,Dante Cunningham,21.5,14.9,17.9,3.0
23,Kyle Singler,26.0,16.0,18.6,2.6
26,Jerryd Bayless,22.0,17.9,20.5,2.6
22,Jared Dudley,24.8,17.7,20.2,2.5
21,Marcin Gortat,29.4,28.4,30.4,2.0
6,Jrue Holiday,30.4,28.5,30.4,1.9
16,Enes Kanter,20.6,19.5,21.4,1.9
7,Khris Middleton,24.8,19.4,21.2,1.8
11,O.J. Mayo,26.4,21.3,23.0,1.7
15,Giannis Antetokounmpo,27.4,22.5,24.1,1.6
19,Ryan Anderson,23.5,21.2,22.8,1.6
2,Ramon Sessions,23.8,20.8,22.3,1.5
5,D.J. Augustin,25.0,20.1,21.4,1.3
20,Dion Waiters,26.1,21.2,22.2,1.0
8,Bradley Beal,30.8,25.9,26.3,0.4
14,Eric Gordon,30.7,25.5,25.8,0.3
24,Greg Monroe,30.8,31.9,31.9,0.0
18,Serge Ibaka,29.6,28.4,28.0,-0.4
0,Tyreke Evans,31.7,31.2,30.4,-0.8
12,John Wall,34.3,37.7,36.8,-0.9
25,Russell Westbrook,32.6,42.2,41.0,-1.2
13,Michael Carter-Williams,30.9,33.0,31.4,-1.6
9,Anthony Davis,32.4,42.5,40.8,-1.7
17,Kevin Durant,36.2,45.3,43.4,-1.9
