,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
28,Robin Lopez,22.0,18.3,22.9,4.6
48,Lance Thomas,20.4,11.5,14.8,3.3
8,Jameer Nelson,27.8,24.7,28.0,3.3
18,Luc Mbah a Moute,21.6,14.4,17.5,3.1
49,Tyler Zeller,20.3,17.1,20.2,3.1
42,Thabo Sefolosha,23.9,15.1,18.1,3.0
37,Isaiah Thomas,27.0,26.3,29.3,3.0
38,Derrick Williams,21.8,16.7,19.5,2.8
10,Marco Belinelli,22.4,16.0,18.8,2.8
20,Ben McLemore,29.6,18.1,20.8,2.7
27,Avery Bradley,23.7,16.3,19.0,2.7
46,Caron Butler,24.0,16.7,19.4,2.7
41,Marcus Smart,23.7,17.6,20.0,2.4
47,Langston Galloway,32.4,25.0,27.3,2.3
44,Randy Foye,25.5,18.9,21.1,2.2
4,Beno Udrih,20.7,16.6,18.8,2.2
43,Gerald Green,20.1,17.4,19.5,2.1
17,Wesley Johnson,24.1,16.8,18.9,2.1
0,Kyle Korver,27.2,19.7,21.2,1.5
12,Nikola Vucevic,28.0,29.8,31.1,1.3
3,Victor Oladipo,32.2,29.3,30.6,1.3
24,Arron Afflalo,32.9,23.8,25.1,1.3
14,DeAndre Jordan,29.5,28.1,29.4,1.3
30,Lance Stephenson,27.4,21.3,22.5,1.2
25,Darren Collison,27.9,23.5,24.7,1.2
52,Amir Johnson,26.4,22.5,23.7,1.2
9,Kenneth Faried,26.4,27.4,28.5,1.1
50,Channing Frye,27.9,22.3,23.4,1.1
31,Mario Chalmers,27.5,20.1,21.2,1.1
7,Tobias Harris,23.4,21.0,22.0,1.0
16,Evan Turner,28.0,23.5,24.4,0.9
5,Danilo Gallinari,28.1,23.7,24.5,0.8
15,Jose Calderon,28.6,24.3,24.9,0.6
13,Jared Sullinger,24.6,25.8,26.4,0.6
45,Jamal Crawford,27.3,23.3,23.8,0.5
39,Amar'e Stoudemire,23.6,24.4,24.8,0.4
35,Rajon Rondo,31.1,31.7,32.1,0.4
6,Jeff Teague,29.0,27.3,27.3,0.0
33,Paul Millsap,32.2,34.7,34.2,-0.5
34,Goran Dragic,29.2,27.8,27.3,-0.5
19,David Lee,29.4,30.5,30.0,-0.5
26,Dwyane Wade,32.8,36.4,35.8,-0.6
40,DeMarcus Cousins,29.0,37.7,37.0,-0.7
29,Elfrid Payton,30.4,27.0,26.2,-0.8
23,Luol Deng,35.5,28.5,27.6,-0.9
1,Paul Pierce,31.3,30.1,29.1,-1.0
22,Chris Bosh,31.9,29.9,28.8,-1.1
36,Chris Paul,34.1,42.5,40.5,-2.0
11,Rudy Gay,35.0,33.6,31.4,-2.2
21,Al Horford,34.0,35.0,32.5,-2.5
51,Josh Smith,32.9,35.9,33.2,-2.7
2,Carmelo Anthony,34.0,39.3,36.5,-2.8
32,Blake Griffin,35.1,41.7,37.4,-4.3
