,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
118,Norris Cole,21.0,13.1,17.1,4.0
98,Zach LaVine,24.1,19.3,23.3,4.0
33,Eric Bledsoe,23.0,22.1,26.1,4.0
129,Hollis Thompson,23.0,14.4,18.3,3.9
34,Reggie Jackson,22.2,20.1,24.0,3.9
8,Jarrett Jack,28.6,23.9,27.6,3.7
66,Alonzo Gee,20.8,14.2,17.9,3.7
28,Bojan Bogdanovic,24.5,15.2,18.8,3.6
101,Dante Cunningham,21.5,14.9,18.5,3.6
125,Kendrick Perkins,21.0,13.5,17.0,3.5
96,Brian Roberts,21.4,16.4,19.7,3.3
25,Al-Farouq Aminu,20.5,16.0,19.3,3.3
29,Zaza Pachulia,21.0,17.6,20.9,3.3
74,Steve Blake,20.1,13.1,16.3,3.2
111,Maurice Harkless,20.2,13.7,16.9,3.2
60,Joe Ingles,20.9,13.0,16.1,3.1
69,Richard Jefferson,21.6,14.1,17.1,3.0
73,Shaun Livingston,20.4,15.2,18.2,3.0
128,Kyle Singler,26.0,16.0,19.0,3.0
1,Beno Udrih,20.7,16.6,19.3,2.7
84,Courtney Lee,25.9,17.1,19.7,2.6
39,Kirk Hinrich,25.6,17.1,19.7,2.6
58,Iman Shumpert,23.6,16.4,18.9,2.5
23,Jodie Meeks,24.5,16.3,18.8,2.5
14,Marvin Williams,24.5,17.8,20.3,2.5
112,Jrue Holiday,30.4,28.5,30.9,2.4
110,Kentavious Caldwell-Pope,25.6,16.6,19.0,2.4
75,Brandon Knight,30.5,26.5,28.9,2.4
90,Tony Parker,30.2,29.9,32.2,2.3
105,Derrick Favors,25.0,25.7,28.0,2.3
16,Marcus Morris,21.0,17.0,19.3,2.3
13,Sonny Weems,24.0,15.8,18.1,2.3
85,Andrea Bargnani,23.2,20.1,22.3,2.2
46,Devin Harris,22.1,18.4,20.5,2.1
63,Boris Diaw,25.4,19.5,21.6,2.1
17,Enes Kanter,20.6,19.5,21.6,2.1
27,Ricky Rubio,26.5,26.5,28.6,2.1
48,Timofey Mozgov,20.2,18.3,20.4,2.1
56,Mike Conley,33.6,30.7,32.7,2.0
83,Jordan Clarkson,20.2,18.5,20.5,2.0
65,Danny Green,24.9,20.2,22.2,2.0
5,Thaddeus Young,29.8,26.9,28.9,2.0
3,Corey Brewer,25.1,19.6,21.6,2.0
104,Gorgui Dieng,20.2,19.6,21.6,2.0
49,Jason Thompson,25.2,20.0,22.0,2.0
93,Metta World Peace,26.9,18.9,20.8,1.9
76,Harrison Barnes,27.8,19.6,21.5,1.9
113,Tony Allen,23.4,18.8,20.7,1.9
24,Ryan Anderson,23.5,21.2,23.0,1.8
9,Nikola Pekovic,21.3,20.5,22.3,1.8
108,Nick Young,23.7,18.7,20.5,1.8
18,Andre Miller,23.1,20.4,22.2,1.8
80,D.J. Augustin,25.0,20.1,21.9,1.8
32,Kobe Bryant,27.3,31.5,33.2,1.7
95,Matt Barnes,24.7,19.4,21.1,1.7
47,Tayshaun Prince,28.3,18.7,20.4,1.7
7,Taj Gibson,22.9,20.0,21.7,1.7
77,Vince Carter,23.7,20.8,22.4,1.6
31,Mario Chalmers,27.5,20.1,21.7,1.6
115,Jared Dudley,24.8,17.7,19.2,1.5
109,Jason Terry,25.4,19.1,20.6,1.5
12,Spencer Hawes,23.5,22.2,23.7,1.5
88,Dion Waiters,26.1,21.2,22.6,1.4
106,Jimmy Butler,29.2,23.0,24.4,1.4
15,Brandon Bass,27.2,20.8,22.2,1.4
99,Rodney Stuckey,27.4,22.8,24.1,1.3
21,Marcus Thornton,23.6,19.4,20.7,1.3
79,Brandon Jennings,32.1,31.3,32.5,1.2
92,Brook Lopez,28.9,31.6,32.8,1.2
53,Gerald Henderson,29.0,22.5,23.6,1.1
22,Gordon Hayward,28.6,24.7,25.8,1.1
87,Draymond Green,23.3,22.1,23.2,1.1
35,Patrick Beverley,23.1,17.6,18.7,1.1
55,Kemba Walker,32.4,31.6,32.6,1.0
51,Nerlens Noel,28.9,27.5,28.5,1.0
59,Andrew Bogut,24.6,24.6,25.6,1.0
126,Marcin Gortat,29.4,28.4,29.3,0.9
40,Kevin Martin,28.3,24.9,25.8,0.9
91,John Wall,34.3,37.7,38.6,0.9
57,Lou Williams,24.1,22.1,23.0,0.9
132,Mo Williams,24.9,21.3,22.2,0.9
131,Kyrie Irving,31.6,33.7,34.6,0.9
123,Jeremy Lin,26.1,23.8,24.7,0.9
64,George Hill,29.3,23.2,24.0,0.8
41,Jeff Green,31.2,24.4,25.2,0.8
130,Manu Ginobili,24.0,25.6,26.4,0.8
37,Marc Gasol,33.4,33.2,34.0,0.8
97,Ersan Ilyasova,24.1,22.7,23.3,0.6
94,Trey Burke,29.4,24.1,24.7,0.6
45,Ramon Sessions,23.8,20.8,21.3,0.5
19,Eric Gordon,30.7,25.5,26.0,0.5
100,Zach Randolph,33.2,34.3,34.8,0.5
78,Tristan Thompson,29.1,24.4,24.9,0.5
67,Markieff Morris,25.2,23.3,23.8,0.5
82,J.R. Smith,28.9,25.2,25.7,0.5
135,James Harden,33.8,37.7,38.1,0.4
72,Kawhi Leonard,27.8,26.0,26.4,0.4
11,Damian Lillard,37.0,36.6,37.0,0.4
4,Trevor Ariza,31.7,25.9,26.2,0.3
44,Andrew Wiggins,36.2,28.2,28.5,0.3
103,Joe Johnson,35.0,28.4,28.6,0.2
70,Robert Covington,27.5,25.0,25.1,0.1
102,Derrick Rose,32.7,37.1,37.1,0.0
38,Kevin Garnett,25.6,26.9,26.9,0.0
107,Raymond Felton,27.3,23.6,23.6,0.0
116,Klay Thompson,32.5,28.1,28.1,0.0
6,David West,30.3,28.7,28.7,0.0
122,Andre Drummond,27.3,31.9,31.8,-0.1
61,Andre Iguodala,32.6,27.9,27.8,-0.1
71,Serge Ibaka,29.6,28.4,28.3,-0.1
20,Nicolas Batum,33.4,28.0,27.9,-0.1
42,Anderson Varejao,24.3,24.0,23.9,-0.1
86,Wesley Matthews,33.3,24.9,24.7,-0.2
127,Tyson Chandler,28.8,25.3,25.1,-0.2
0,Tyreke Evans,31.7,31.2,30.9,-0.3
30,Roy Hibbert,28.3,27.5,27.2,-0.3
52,Tim Duncan,29.4,35.7,35.3,-0.4
68,Paul George,29.1,28.6,28.1,-0.5
81,Bradley Beal,30.8,25.9,25.3,-0.6
50,Pau Gasol,32.7,36.3,35.6,-0.7
89,Chandler Parsons,32.5,27.2,26.3,-0.9
124,Joakim Noah,32.1,32.7,31.6,-1.1
133,Russell Westbrook,32.6,42.2,41.1,-1.1
2,Al Jefferson,33.6,38.2,37.0,-1.2
43,Ty Lawson,31.5,30.9,29.6,-1.3
10,Stephen Curry,35.0,41.8,40.2,-1.6
114,Dwight Howard,32.8,40.4,38.7,-1.7
54,Kevin Durant,36.2,45.3,43.5,-1.8
117,Anthony Davis,32.4,42.5,40.7,-1.8
62,Monta Ellis,37.0,36.2,34.2,-2.0
119,Deron Williams,32.4,32.3,29.9,-2.4
36,Dirk Nowitzki,31.8,34.0,31.6,-2.4
26,Josh Smith,32.9,35.9,33.4,-2.5
120,LaMarcus Aldridge,35.7,39.4,36.8,-2.6
121,Kevin Love,31.0,39.0,35.5,-3.5
134,LeBron James,37.9,49.8,44.1,-5.7
