,Player,Type
111,Kris Humphries,0
419,Kristaps Porzingis,5
294,Kyle Anderson,5
250,Kyle Korver,5
8,Kyle Lowry,2
56,Kyle O'Quinn,0
249,Kyle Singler,5
170,Kyrie Irving,5
124,LaMarcus Aldridge,1
55,Lamar Patterson,5
237,Lance Stephenson,0
240,Lance Thomas,0
296,Langston Galloway,0
181,Larry Nance Jr.,0
384,Lavoy Allen,0
34,LeBron James,2
432,Leandro Barbosa,0
228,Lorenzo Brown,1
445,Lou Amundson,5
320,Lou Williams,5
213,Luc Mbah a Moute,0
84,Lucas Nogueira,1
61,Luis Montero,2
383,Luis Scola,0
261,Luke Babbitt,5
77,Luol Deng,0
71,Manu Ginobili,0
31,Marc Gasol,2
311,Marcelo Huertas,5
385,Marcin Gortat,2
286,Marco Belinelli,0
379,Marcus Morris,0
131,Marcus Smart,0
142,Marcus Thornton,0
45,Mario Chalmers,5
401,Mario Hezonja,5
287,Markel Brown,5
411,Markieff Morris,0
313,Marreese Speights,0
204,Marvin Williams,0
337,Mason Plumlee,1
338,Matt Barnes,0
323,Matt Bonner,1
415,Matthew Dellavedova,5
98,Maurice Harkless,0
117,Metta World Peace,0
138,Meyers Leonard,0
28,Michael Carter-Williams,1
139,Mike Conley,1
6,Mike Miller,1
315,Mike Muscala,5
153,Mike Scott,0
109,Miles Plumlee,5
262,Mirza Teletovic,0
422,Mitch McGary,1
214,Mo Williams,5
150,Monta Ellis,1
63,Montrezl Harrell,5
381,Myles Turner,1
358,Nate Robinson,6
367,Nemanja Bjelica,0
129,Nene,1
395,Nerlens Noel,1
252,Nick Collison,0
192,Nick Young,5
373,Nicolas Batum,5
24,Nik Stauskas,0
366,Nikola Jokic,1
427,Nikola Mirotic,0
193,Nikola Pekovic,2
13,Nikola Vucevic,2
91,Noah Vonleh,0
203,Norman Powell,1
200,Norris Cole,5
67,O.J. Mayo,0
307,Omer Asik,1
128,Omri Casspi,0
391,Otto Porter,0
78,PJ Hairston,5
195,PJ Tucker,0
118,Pablo Prigioni,1
295,Pat Connaughton,2
217,Patrick Beverley,0
283,Patrick Patterson,0
416,Patty Mills,5
0,Pau Gasol,2
444,Paul George,1
20,Paul Millsap,2
414,Paul Pierce,0
376,Phil Pressey,2
269,Quincy Acy,5
347,RJ Hunter,1
97,Rajon Rondo,2
268,Ramon Sessions,1
5,Randy Foye,5
443,Rashad Vaughn,5
191,Rasual Butler,5
207,Raul Neto,5
349,Ray McCallum,5
9,Raymond Felton,0
137,Reggie Bullock,2
72,Reggie Jackson,2
336,Richard Jefferson,0
33,Richaun Holmes,5
270,Ricky Rubio,2
216,Robert Covington,0
298,Robert Sacre,0
232,Robin Lopez,1
288,Rodney Hood,5
125,Rodney Stuckey,5
282,Rondae Hollis-Jefferson,0
382,Ronnie Price,5
158,Roy Hibbert,1
272,Rudy Gay,0
176,Rudy Gobert,2
159,Russ Smith,1
329,Russell Westbrook,2
348,Ryan Anderson,5
412,Ryan Hollins,5
357,Ryan Kelly,5
50,Salah Mejri,5
80,Sam Dekker,2
423,Sasha Kaun,2
47,Sasha Vujacic,5
352,Sean Kilpatrick,2
351,Serge Ibaka,1
42,Sergey Karasev,1
300,Seth Curry,1
418,Shabazz Muhammad,0
340,Shabazz Napier,5
390,Shane Larkin,5
180,Shaun Livingston,0
198,Shayne Whittington,2
154,Shelvin Mack,1
231,Solomon Hill,0
187,Sonny Weems,5
359,Spencer Dinwiddie,1
245,Spencer Hawes,0
398,Stanley Johnson,0
106,Stephen Curry,2
215,Steve Blake,1
306,Steve Novak,2
115,Steven Adams,1
160,TJ McConnell,1
52,TJ Warren,0
224,Taj Gibson,1
88,Tarik Black,5
368,Tayshaun Prince,0
438,Terrence Jones,0
370,Terrence Ross,5
46,Terry Rozier,1
141,Thabo Sefolosha,0
10,Thaddeus Young,1
175,Thomas Robinson,0
248,Tiago Splitter,1
1,Tibor Pleiss,5
334,Tim Duncan,2
234,Tim Frazier,1
356,Tim Hardaway Jr.,5
258,Timofey Mozgov,5
317,Tobias Harris,5
197,Toney Douglas,5
161,Tony Allen,0
32,Tony Parker,1
362,Tony Snell,0
92,Tony Wroten,1
147,Trevor Ariza,0
134,Trevor Booker,5
404,Trey Burke,5
330,Trey Lyles,0
310,Tristan Thompson,1
126,Troy Daniels,1
40,Ty Lawson,5
190,Tyler Ennis,1
201,Tyler Hansbrough,5
89,Tyler Johnson,0
62,Tyler Zeller,5
135,Tyreke Evans,2
353,Tyson Chandler,1
120,Tyus Jones,5
218,Udonis Haslem,1
429,Victor Oladipo,0
182,Vince Carter,0
65,Walter Tavares,1
335,Wayne Ellington,0
113,Wesley Johnson,0
41,Wesley Matthews,0
23,Will Barton,5
212,Willie Cauley-Stein,1
236,Willie Reed,5
152,Zach LaVine,0
38,Zach Randolph,1
82,Zaza Pachulia,2
