,Rk,G,HomeAway,Opp,WinLoss,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,Empty,O_eFG%,O_TOV%,O_ORB%,O_FTFTA,Empty,D_eFG%,D_TOV%,D_ORB%,D_FTFTA,Team
2015-12-23,31,31,,DET,W,107,100,107.5,100.5,99.5,0.225,0.225,0.547,47.7,58.1,8.0,5.9,,0.517,11.7,23.3,0.169,,0.466,11.9,71.1,0.191,ATL
2015-12-26,32,32,,NYK,W,117,98,123.7,103.6,94.6,0.205,0.284,0.61,46.8,70.2,13.7,7.0,,0.58,8.6,25.0,0.17,,0.525,19.9,69.2,0.16,ATL
2015-12-28,33,33,@,IND,L,87,93,91.6,97.9,95.0,0.338,0.338,0.512,52.4,51.6,9.5,9.8,,0.459,19.0,21.6,0.257,,0.477,12.9,76.6,0.115,ATL
2015-12-29,34,34,@,HOU,W,121,115,119.6,113.7,101.2,0.253,0.414,0.55,49.5,62.8,9.9,13.5,,0.505,9.8,30.4,0.212,,0.618,17.6,80.0,0.361,ATL
2016-01-03,35,35,@,NYK,L,97,111,101.4,116.0,95.7,0.238,0.31,0.523,41.0,70.3,11.5,8.1,,0.488,13.9,19.0,0.179,,0.563,14.5,66.7,0.136,ATL
2016-01-05,36,36,,NYK,L,101,107,111.4,118.0,90.6,0.218,0.448,0.53,47.1,59.5,3.3,6.1,,0.511,12.0,28.6,0.138,,0.506,8.7,71.1,0.262,ATL
2016-01-07,37,37,@,PHI,W,126,98,123.6,96.1,102.0,0.207,0.348,0.628,52.7,73.5,17.7,8.8,,0.603,13.8,32.6,0.163,,0.483,18.5,70.8,0.174,ATL
2016-01-09,38,38,,CHI,W,120,105,115.1,100.7,104.3,0.16,0.255,0.596,46.5,67.3,14.4,20.0,,0.574,13.0,19.0,0.128,,0.476,17.9,72.7,0.313,ATL
2016-01-13,39,39,@,CHO,L,84,107,86.5,110.2,97.1,0.259,0.309,0.465,40.7,56.7,5.1,9.3,,0.414,15.1,12.2,0.21,,0.518,14.6,73.8,0.268,ATL
2016-01-15,40,40,@,MIL,L (1 OT),101,108,94.0,100.5,97.3,0.06,0.3,0.492,41.7,67.4,4.7,10.5,,0.475,14.2,15.2,0.06,,0.432,12.5,63.2,0.26,ATL
2016-01-16,41,41,,BRK,W,114,86,121.4,91.6,93.9,0.304,0.367,0.636,52.6,77.3,14.9,8.6,,0.608,10.0,14.7,0.228,,0.474,16.4,83.3,0.154,ATL
2016-01-18,42,42,,ORL,W,98,81,102.2,84.5,95.9,0.125,0.238,0.581,52.8,75.6,9.4,9.2,,0.569,16.8,11.4,0.088,,0.379,11.9,79.6,0.172,ATL
2016-01-20,43,43,@,POR,W,104,98,108.0,101.7,96.3,0.264,0.276,0.535,46.2,64.1,7.3,4.8,,0.506,11.8,21.3,0.184,,0.484,10.8,71.7,0.074,ATL
2016-01-21,44,44,@,SAC,L,88,91,87.6,90.6,100.5,0.179,0.393,0.486,42.9,60.0,14.9,13.2,,0.464,17.3,15.2,0.119,,0.397,15.6,67.3,0.196,ATL
2016-01-23,45,45,@,PHO,L,95,98,100.0,103.2,95.0,0.214,0.405,0.517,45.3,67.6,8.4,11.5,,0.476,14.8,22.9,0.179,,0.459,15.0,68.1,0.235,ATL
2016-01-25,46,46,@,DEN,W,119,105,120.1,106.0,99.0,0.302,0.314,0.611,49.4,65.1,11.1,4.7,,0.552,12.6,24.4,0.279,,0.429,13.0,72.7,0.393,ATL
2016-01-27,47,47,,LAC,L,83,85,86.4,88.4,96.1,0.177,0.291,0.487,51.6,63.6,6.2,5.2,,0.481,20.5,17.8,0.089,,0.418,10.5,82.0,0.165,ATL
2016-01-28,48,48,@,IND,L,92,111,95.0,114.6,96.9,0.253,0.337,0.499,39.5,60.6,9.3,6.3,,0.44,13.2,11.4,0.229,,0.545,14.9,73.0,0.333,ATL
2016-01-31,49,49,@,MIA,L,87,105,89.1,107.5,97.7,0.457,0.314,0.517,39.7,48.1,10.2,4.9,,0.421,16.8,5.1,0.4,,0.512,16.3,74.4,0.272,ATL
2016-02-01,50,50,,DAL,W,112,97,116.7,101.1,96.0,0.238,0.438,0.634,57.5,69.0,2.1,10.2,,0.613,14.5,15.6,0.175,,0.406,5.6,81.8,0.329,ATL
2016-02-03,51,51,@,PHI,W,124,86,116.0,80.4,106.9,0.272,0.217,0.602,57.8,58.3,12.2,12.3,,0.576,14.9,25.6,0.196,,0.452,20.3,87.2,0.119,ATL
2016-02-05,52,52,,IND,W,102,96,109.1,102.7,93.5,0.263,0.355,0.601,37.6,74.4,10.7,8.3,,0.579,15.0,8.1,0.184,,0.489,16.7,60.4,0.077,ATL
2016-02-07,53,53,@,ORL,L,94,96,98.6,100.7,95.3,0.165,0.308,0.482,53.8,62.9,7.3,11.7,,0.456,14.1,34.0,0.121,,0.5,16.6,80.0,0.129,ATL
2016-02-08,54,54,,ORL,L (1 OT),110,117,103.0,109.6,96.7,0.217,0.315,0.546,50.0,72.1,8.4,6.3,,0.533,12.2,16.3,0.13,,0.543,11.2,86.7,0.172,ATL
2016-02-10,55,55,@,CHI,W,113,90,117.6,93.6,96.1,0.167,0.367,0.585,50.5,58.1,16.6,9.7,,0.55,11.0,24.4,0.156,,0.471,16.5,76.1,0.105,ATL
2016-02-19,56,56,,MIA,L,111,115,107.4,111.2,103.4,0.149,0.414,0.599,47.7,65.9,6.8,5.9,,0.563,18.5,18.2,0.149,,0.545,12.2,77.3,0.216,ATL
2016-02-20,57,57,,MIL,L (2 OT),109,117,93.7,100.5,96.3,0.17,0.387,0.478,43.0,70.5,9.5,9.2,,0.458,12.3,17.2,0.113,,0.457,12.6,69.6,0.212,ATL
2016-02-22,58,58,,GSW,L,92,102,92.2,102.2,99.8,0.186,0.395,0.494,52.2,63.9,7.0,15.9,,0.477,15.4,17.8,0.116,,0.517,12.1,86.7,0.112,ATL
2015-10-28,1,1,,PHI,W,112,95,112.6,95.5,99.5,0.318,0.282,0.578,47.1,79.5,10.1,11.5,,0.506,14.9,23.8,0.306,,0.452,19.1,68.9,0.241,BOS
2015-10-30,2,2,,TOR,L,103,113,95.1,104.4,108.3,0.482,0.306,0.5,41.8,71.9,12.9,5.4,,0.418,14.2,13.7,0.376,,0.506,17.7,77.5,0.366,BOS
2015-11-01,3,3,,SAS,L,87,95,87.5,95.6,99.4,0.143,0.296,0.418,46.9,60.0,10.1,7.8,,0.388,13.3,28.1,0.112,,0.464,16.1,74.4,0.217,BOS
2015-11-04,4,4,@,IND,L,98,100,104.2,106.3,94.1,0.265,0.325,0.529,48.0,57.1,7.4,7.4,,0.482,17.0,31.9,0.217,,0.429,11.9,61.8,0.242,BOS
2015-11-06,5,5,,WAS,W,118,98,109.4,90.8,107.9,0.237,0.309,0.551,54.1,54.5,16.7,7.9,,0.515,13.7,30.0,0.186,,0.455,19.7,79.2,0.205,BOS
2015-11-10,6,6,@,MIL,W,99,83,110.7,92.8,89.4,0.221,0.349,0.525,52.3,55.3,12.3,10.7,,0.483,11.3,30.4,0.186,,0.452,17.0,77.5,0.233,BOS
2015-11-11,7,7,,IND,L,91,102,93.0,104.2,97.9,0.416,0.312,0.5,46.8,56.3,10.2,4.8,,0.442,16.5,20.5,0.299,,0.519,16.3,73.7,0.253,BOS
2015-11-13,8,8,,ATL,W,106,93,112.4,98.6,94.3,0.117,0.32,0.489,58.8,64.3,10.6,12.5,,0.461,8.5,36.2,0.107,,0.513,15.9,86.8,0.197,BOS
2015-11-15,9,9,@,OKC,W,100,85,106.6,90.6,93.8,0.244,0.28,0.551,58.0,64.1,12.8,13.5,,0.53,16.5,33.3,0.159,,0.403,16.7,77.8,0.299,BOS
2015-11-16,10,10,@,HOU,W,111,95,110.0,94.1,101.0,0.183,0.387,0.552,51.6,61.4,15.8,5.7,,0.532,15.9,33.3,0.129,,0.488,18.8,70.2,0.141,BOS
2015-11-18,11,11,,DAL,L,102,106,105.3,109.4,96.9,0.261,0.283,0.497,52.4,57.9,12.4,1.9,,0.457,12.0,30.4,0.196,,0.563,16.3,80.6,0.347,BOS
