,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
25,Reggie Jackson,22.2,20.1,24.6,4.5
54,Robin Lopez,22.0,18.3,22.8,4.5
87,Zach LaVine,24.1,19.3,23.2,3.9
64,Steve Blake,20.1,13.1,16.9,3.8
98,Lance Thomas,20.4,11.5,15.0,3.5
24,Eric Bledsoe,23.0,22.1,25.6,3.5
27,Luc Mbah a Moute,21.6,14.4,17.7,3.3
58,Shaun Livingston,20.4,15.2,18.4,3.2
80,Isaiah Thomas,27.0,26.3,29.4,3.1
15,Jodie Meeks,24.5,16.3,19.4,3.1
85,Thabo Sefolosha,23.9,15.1,18.1,3.0
59,Richard Jefferson,21.6,14.1,17.1,3.0
77,Tyler Zeller,20.3,17.1,20.1,3.0
92,Kentavious Caldwell-Pope,25.6,16.6,19.6,3.0
67,Jonas Valanciunas,25.0,23.0,25.9,2.9
91,Terrence Ross,22.7,15.5,18.3,2.8
10,Marcus Morris,21.0,17.0,19.8,2.8
50,Jerryd Bayless,22.0,17.9,20.6,2.7
61,Bismack Biyombo,21.0,15.1,17.8,2.7
8,Kirk Hinrich,25.6,17.1,19.8,2.7
47,Iman Shumpert,23.6,16.4,19.0,2.6
53,Avery Bradley,23.7,16.3,18.9,2.6
5,Beno Udrih,20.7,16.6,19.1,2.5
95,Derrick Williams,21.8,16.7,19.1,2.4
70,Metta World Peace,26.9,18.9,21.3,2.4
57,DeMar DeRozan,35.1,29.3,31.7,2.4
26,Patrick Patterson,22.7,17.8,20.2,2.4
79,Nick Young,23.7,18.7,21.0,2.3
0,Sonny Weems,24.0,15.8,18.1,2.3
22,Jordan Clarkson,20.2,18.5,20.8,2.3
81,Marcus Smart,23.7,17.6,19.9,2.3
1,DeMarre Carroll,23.8,18.4,20.6,2.2
35,Timofey Mozgov,20.2,18.3,20.5,2.2
12,Brandon Bass,27.2,20.8,23.0,2.2
41,Giannis Antetokounmpo,27.4,22.5,24.6,2.1
19,Ricky Rubio,26.5,26.5,28.6,2.1
36,Jason Thompson,25.2,20.0,22.1,2.1
88,Gerald Green,20.1,17.4,19.5,2.1
21,Wesley Johnson,24.1,16.8,18.9,2.1
16,Harrison Barnes,27.8,19.6,21.7,2.1
2,Kyle Korver,27.2,19.7,21.7,2.0
56,Andre Miller,23.1,20.4,22.3,1.9
46,Marcus Thornton,23.6,19.4,21.3,1.9
68,Khris Middleton,24.8,19.4,21.3,1.9
6,Nikola Pekovic,21.3,20.5,22.4,1.9
38,O.J. Mayo,26.4,21.3,23.2,1.9
65,Brandon Knight,30.5,26.5,28.4,1.9
96,Gorgui Dieng,20.2,19.6,21.5,1.9
52,Brandon Jennings,32.1,31.3,33.1,1.8
97,Langston Galloway,32.4,25.0,26.8,1.8
102,Lou Williams,24.1,22.1,23.8,1.7
34,Tayshaun Prince,28.3,18.7,20.3,1.6
14,DeAndre Jordan,29.5,28.1,29.6,1.5
75,Tobias Harris,23.4,21.0,22.4,1.4
101,Mo Williams,24.9,21.3,22.7,1.4
86,Kyle Lowry,32.1,32.8,34.1,1.3
30,Kevin Martin,28.3,24.9,26.2,1.3
60,Lance Stephenson,27.4,21.3,22.6,1.3
62,Mario Chalmers,27.5,20.1,21.4,1.3
71,Luis Scola,24.6,23.8,25.0,1.2
89,Ersan Ilyasova,24.1,22.7,23.9,1.2
105,Amir Johnson,26.4,22.5,23.7,1.2
45,Arron Afflalo,32.9,23.8,24.8,1.0
37,Kobe Bryant,27.3,31.5,32.4,0.9
72,J.R. Smith,28.9,25.2,26.0,0.8
17,Jose Calderon,28.6,24.3,25.1,0.8
83,Rodney Stuckey,27.4,22.8,23.6,0.8
100,Kyrie Irving,31.6,33.7,34.5,0.8
76,Draymond Green,23.3,22.1,22.9,0.8
48,Andrew Bogut,24.6,24.6,25.3,0.7
94,Jamal Crawford,27.3,23.3,24.0,0.7
51,George Hill,29.3,23.2,23.9,0.7
20,Evan Turner,28.0,23.5,24.2,0.7
69,Tristan Thompson,29.1,24.4,25.0,0.6
33,Andrew Wiggins,36.2,28.2,28.7,0.5
32,Jared Sullinger,24.6,25.8,26.3,0.5
11,Jeff Green,31.2,24.4,24.9,0.5
74,Amar'e Stoudemire,23.6,24.4,24.8,0.4
31,Anderson Varejao,24.3,24.0,24.4,0.4
78,Markieff Morris,25.2,23.3,23.7,0.4
18,Greg Monroe,30.8,31.9,32.2,0.3
28,Kevin Garnett,25.6,26.9,27.1,0.2
23,Roy Hibbert,28.3,27.5,27.7,0.2
84,Paul Millsap,32.2,34.7,34.9,0.2
93,Klay Thompson,32.5,28.1,28.2,0.1
7,Jeff Teague,29.0,27.3,27.3,0.0
90,Andre Iguodala,32.6,27.9,27.8,-0.1
44,Goran Dragic,29.2,27.8,27.6,-0.2
42,Andre Drummond,27.3,31.9,31.7,-0.2
99,Tyson Chandler,28.8,25.3,25.1,-0.2
