,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
29,David Lee,29.4,30.5,29.9,-0.6
82,Dwyane Wade,32.8,36.4,35.8,-0.6
13,Paul George,29.1,28.6,28.0,-0.6
43,Luol Deng,35.5,28.5,27.6,-0.9
3,Paul Pierce,31.3,30.1,29.2,-0.9
40,Chris Bosh,31.9,29.9,28.8,-1.1
9,Stephen Curry,35.0,41.8,40.4,-1.4
73,Michael Carter-Williams,30.9,33.0,31.5,-1.5
66,Chris Paul,34.1,42.5,41.0,-1.5
39,Al Horford,34.0,35.0,32.8,-2.2
49,Monta Ellis,37.0,36.2,33.7,-2.5
104,Josh Smith,32.9,35.9,33.3,-2.6
4,Carmelo Anthony,34.0,39.3,36.1,-3.2
55,Kevin Love,31.0,39.0,35.6,-3.4
63,Blake Griffin,35.1,41.7,37.5,-4.2
103,LeBron James,37.9,49.8,44.6,-5.2
