,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
100,Zach LaVine,24.1,19.3,23.9,4.6
92,Reggie Jackson,22.2,20.1,24.3,4.2
33,Bojan Bogdanovic,24.5,15.2,19.3,4.1
39,Eric Bledsoe,23.0,22.1,25.9,3.8
9,Jarrett Jack,28.6,23.9,27.5,3.6
122,Kendrick Perkins,21.0,13.5,17.1,3.6
115,Norris Cole,21.0,13.1,16.6,3.5
41,Luc Mbah a Moute,21.6,14.4,17.8,3.4
83,Jonas Valanciunas,25.0,23.0,26.4,3.4
79,Steve Blake,20.1,13.1,16.4,3.3
127,Hollis Thompson,23.0,14.4,17.7,3.3
95,Brian Roberts,21.4,16.4,19.6,3.2
30,Richard Jefferson,21.6,14.1,17.3,3.2
104,Dante Cunningham,21.5,14.9,18.1,3.2
69,Alonzo Gee,20.8,14.2,17.4,3.2
98,Thabo Sefolosha,23.9,15.1,18.1,3.0
77,Bismack Biyombo,21.0,15.1,18.1,3.0
108,Terrence Ross,22.7,15.5,18.5,3.0
117,Caron Butler,24.0,16.7,19.6,2.9
52,Ben McLemore,29.6,18.1,21.0,2.9
32,Ricky Rubio,26.5,26.5,29.3,2.8
61,Wesley Johnson,24.1,16.8,19.6,2.8
126,Kyle Singler,26.0,16.0,18.8,2.8
63,Iman Shumpert,23.6,16.4,19.1,2.7
18,Jrue Holiday,30.4,28.5,31.2,2.7
17,Marco Belinelli,22.4,16.0,18.7,2.7
110,Kentavious Caldwell-Pope,25.6,16.6,19.3,2.7
15,Marcus Morris,21.0,17.0,19.6,2.6
27,Jodie Meeks,24.5,16.3,18.9,2.6
60,Mike Conley,33.6,30.7,33.3,2.6
29,Al-Farouq Aminu,20.5,16.0,18.5,2.5
10,Beno Udrih,20.7,16.6,19.1,2.5
13,Jameer Nelson,27.8,24.7,27.1,2.4
2,DeMarre Carroll,23.8,18.4,20.8,2.4
26,Sonny Weems,24.0,15.8,18.2,2.4
51,Timofey Mozgov,20.2,18.3,20.6,2.3
111,Maurice Harkless,20.2,13.7,16.0,2.3
81,Brandon Knight,30.5,26.5,28.8,2.3
46,Kirk Hinrich,25.6,17.1,19.4,2.3
112,Tony Allen,23.4,18.8,21.0,2.2
40,Patrick Patterson,22.7,17.8,20.0,2.2
119,Gorgui Dieng,20.2,19.6,21.8,2.2
16,Marvin Williams,24.5,17.8,19.9,2.1
73,DeMar DeRozan,35.1,29.3,31.4,2.1
50,Tayshaun Prince,28.3,18.7,20.7,2.0
76,Lance Stephenson,27.4,21.3,23.3,2.0
28,Ryan Anderson,23.5,21.2,23.1,1.9
94,Matt Barnes,24.7,19.4,21.3,1.9
88,Courtney Lee,25.9,17.1,19.0,1.9
22,Enes Kanter,20.6,19.5,21.3,1.8
54,Randy Foye,25.5,18.9,20.7,1.8
20,Brandon Bass,27.2,20.8,22.6,1.8
64,Thaddeus Young,29.8,26.9,28.7,1.8
87,DeAndre Jordan,29.5,28.1,29.9,1.8
34,Jordan Clarkson,20.2,18.5,20.2,1.7
85,Rajon Rondo,31.1,31.7,33.3,1.6
37,D.J. Augustin,25.0,20.1,21.6,1.5
89,Andrea Bargnani,23.2,20.1,21.6,1.5
93,Metta World Peace,26.9,18.9,20.4,1.5
14,Spencer Hawes,23.5,22.2,23.7,1.5
4,Kyle Korver,27.2,19.7,21.2,1.5
31,Nick Young,23.7,18.7,20.2,1.5
67,Brandon Jennings,32.1,31.3,32.8,1.5
6,Taj Gibson,22.9,20.0,21.4,1.4
128,Mo Williams,24.9,21.3,22.7,1.4
113,Darren Collison,27.9,23.5,24.9,1.4
36,Mario Chalmers,27.5,20.1,21.5,1.4
105,Kyrie Irving,31.6,33.7,35.1,1.4
96,Rodney Stuckey,27.4,22.8,24.2,1.4
68,Nikola Pekovic,21.3,20.5,21.9,1.4
23,Andre Miller,23.1,20.4,21.7,1.3
109,Nikola Vucevic,28.0,29.8,31.1,1.3
101,Kenneth Faried,26.4,27.4,28.7,1.3
7,Victor Oladipo,32.2,29.3,30.6,1.3
130,Lou Williams,24.1,22.1,23.4,1.3
21,Kobe Bryant,27.3,31.5,32.7,1.2
123,Kevin Martin,28.3,24.9,26.1,1.2
124,Dion Waiters,26.1,21.2,22.4,1.2
38,Nerlens Noel,28.9,27.5,28.6,1.1
66,George Hill,29.3,23.2,24.3,1.1
132,Channing Frye,27.9,22.3,23.4,1.1
62,Luis Scola,24.6,23.8,24.9,1.1
0,Brook Lopez,28.9,31.6,32.6,1.0
99,Kyle Lowry,32.1,32.8,33.8,1.0
8,Danilo Gallinari,28.1,23.7,24.7,1.0
12,Tobias Harris,23.4,21.0,22.0,1.0
86,J.R. Smith,28.9,25.2,26.2,1.0
82,Vince Carter,23.7,20.8,21.8,1.0
102,Ersan Ilyasova,24.1,22.7,23.6,0.9
59,Kemba Walker,32.4,31.6,32.5,0.9
120,Jeremy Lin,26.1,23.8,24.6,0.8
71,Markieff Morris,25.2,23.3,24.1,0.8
116,Jamal Crawford,27.3,23.3,24.1,0.8
84,Tristan Thompson,29.1,24.4,25.1,0.7
47,Jeff Green,31.2,24.4,25.1,0.7
24,Eric Gordon,30.7,25.5,26.1,0.6
44,Marc Gasol,33.4,33.2,33.8,0.6
80,Damian Lillard,37.0,36.6,37.1,0.5
107,Jimmy Butler,29.2,23.0,23.5,0.5
57,Andre Drummond,27.3,31.9,32.3,0.4
56,Gerald Henderson,29.0,22.5,22.9,0.4
48,Anderson Varejao,24.3,24.0,24.4,0.4
103,Zach Randolph,33.2,34.3,34.6,0.3
11,Jeff Teague,29.0,27.3,27.3,0.0
49,Andrew Wiggins,36.2,28.2,28.1,-0.1
125,Tyson Chandler,28.8,25.3,25.2,-0.1
72,Paul George,29.1,28.6,28.4,-0.2
5,Paul Pierce,31.3,30.1,29.9,-0.2
45,Kevin Garnett,25.6,26.9,26.5,-0.4
25,Nicolas Batum,33.4,28.0,27.6,-0.4
91,Serge Ibaka,29.6,28.4,27.9,-0.5
43,Joe Johnson,35.0,28.4,27.9,-0.5
97,Paul Millsap,32.2,34.7,34.2,-0.5
75,Robert Covington,27.5,25.0,24.5,-0.5
35,Roy Hibbert,28.3,27.5,26.9,-0.6
106,Derrick Rose,32.7,37.1,36.5,-0.6
1,Tyreke Evans,31.7,31.2,30.5,-0.7
70,Elfrid Payton,30.4,27.0,26.2,-0.8
53,Pau Gasol,32.7,36.3,35.3,-1.0
129,Russell Westbrook,32.6,42.2,41.1,-1.1
3,Al Jefferson,33.6,38.2,37.1,-1.1
90,DeMarcus Cousins,29.0,37.7,36.5,-1.2
74,Chris Paul,34.1,42.5,41.0,-1.5
114,Anthony Davis,32.4,42.5,40.9,-1.6
58,Kevin Durant,36.2,45.3,43.5,-1.8
19,Rudy Gay,35.0,33.6,31.8,-1.8
42,Josh Smith,32.9,35.9,34.0,-1.9
65,Monta Ellis,37.0,36.2,34.3,-1.9
121,Joakim Noah,32.1,32.7,30.6,-2.1
55,Al Horford,34.0,35.0,32.5,-2.5
118,Kevin Love,31.0,39.0,35.7,-3.3
78,Blake Griffin,35.1,41.7,37.7,-4.0
131,LeBron James,37.9,49.8,44.7,-5.1
