,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
45,Zach LaVine,24.1,19.3,24.1,4.8
28,Robin Lopez,22.0,18.3,22.4,4.1
55,Lance Thomas,20.4,11.5,15.1,3.6
14,Luc Mbah a Moute,21.6,14.4,17.8,3.4
44,Thabo Sefolosha,23.9,15.1,18.3,3.2
7,Kirk Hinrich,25.6,17.1,20.0,2.9
12,Ricky Rubio,26.5,26.5,29.4,2.9
4,Beno Udrih,20.7,16.6,19.4,2.8
47,Gerald Green,20.1,17.4,20.0,2.6
33,Shaun Livingston,20.4,15.2,17.8,2.6
13,Wesley Johnson,24.1,16.8,19.3,2.5
27,Jerryd Bayless,22.0,17.9,20.3,2.4
52,Derrick Williams,21.8,16.7,19.0,2.3
49,Jared Dudley,24.8,17.7,19.9,2.2
36,Khris Middleton,24.8,19.4,21.4,2.0
1,Kyle Korver,27.2,19.7,21.7,2.0
29,Andre Miller,23.1,20.4,22.3,1.9
5,Nikola Pekovic,21.3,20.5,22.4,1.9
53,Gorgui Dieng,20.2,19.6,21.5,1.9
9,DeAndre Jordan,29.5,28.1,29.8,1.7
32,Mario Chalmers,27.5,20.1,21.8,1.7
54,Langston Galloway,32.4,25.0,26.7,1.7
18,Tayshaun Prince,28.3,18.7,20.3,1.6
20,O.J. Mayo,26.4,21.3,22.9,1.6
31,Lance Stephenson,27.4,21.3,22.9,1.6
34,Harrison Barnes,27.8,19.6,21.1,1.5
22,Giannis Antetokounmpo,27.4,22.5,24.0,1.5
19,Jason Thompson,25.2,20.0,21.5,1.5
56,Marcin Gortat,29.4,28.4,29.8,1.4
25,Arron Afflalo,32.9,23.8,25.1,1.3
46,Ramon Sessions,23.8,20.8,21.8,1.0
16,Kevin Martin,28.3,24.9,25.9,1.0
39,Amar'e Stoudemire,23.6,24.4,25.3,0.9
41,Draymond Green,23.3,22.1,23.0,0.9
10,Jose Calderon,28.6,24.3,25.2,0.9
51,Jamal Crawford,27.3,23.3,24.1,0.8
26,Andrew Bogut,24.6,24.6,25.4,0.8
40,Markieff Morris,25.2,23.3,23.9,0.6
43,Paul Millsap,32.2,34.7,35.3,0.6
11,Greg Monroe,30.8,31.9,32.4,0.5
17,Andrew Wiggins,36.2,28.2,28.7,0.5
15,Kevin Garnett,25.6,26.9,27.1,0.2
37,Bradley Beal,30.8,25.9,26.0,0.1
6,Jeff Teague,29.0,27.3,27.4,0.1
24,Goran Dragic,29.2,27.8,27.9,0.1
42,Dwyane Wade,32.8,36.4,36.0,-0.4
23,Luol Deng,35.5,28.5,28.1,-0.4
50,Klay Thompson,32.5,28.1,27.6,-0.5
48,Andre Iguodala,32.6,27.9,27.4,-0.5
2,Paul Pierce,31.3,30.1,29.5,-0.6
0,John Wall,34.3,37.7,36.9,-0.8
35,Chris Paul,34.1,42.5,41.0,-1.5
8,Stephen Curry,35.0,41.8,40.0,-1.8
38,Michael Carter-Williams,30.9,33.0,31.2,-1.8
21,Al Horford,34.0,35.0,33.1,-1.9
57,Josh Smith,32.9,35.9,33.6,-2.3
3,Carmelo Anthony,34.0,39.3,36.5,-2.8
30,Blake Griffin,35.1,41.7,37.6,-4.1
