,Team,Date,HomeAway,Opp,WinLoss,TmScore,OppScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,O_eFG%,O_TOV%,O_ORB%,O_FTFTA,D_eFG%,D_TOV%,D_ORB%,D_FTFTA
31,ATL,2010-12-26,0,NOH,0.0,86,93,99.6,107.7,86.3,0.329,0.329,0.515,44.7,58.6,3.5,4.5,0.459,14.4,18.6,0.26,0.5,8.1,71.4,0.107
32,ATL,2010-12-27,0,MIL,1.0,95,80,108.6,91.5,87.4,0.267,0.187,0.567,58.8,60.5,8.0,3.3,0.547,15.2,31.4,0.173,0.4,13.9,80.0,0.267
33,ATL,2010-12-29,1,GSW,1.0,103,93,111.3,100.5,92.6,0.14,0.221,0.564,50.6,70.5,8.6,6.8,0.558,11.6,23.3,0.081,0.494,14.3,77.3,0.133
34,ATL,2010-12-31,0,OKC,0.0,94,103,102.9,112.7,91.4,0.397,0.247,0.548,46.2,57.6,8.8,6.3,0.486,12.3,12.5,0.315,0.543,11.9,81.6,0.185
35,ATL,2011-01-02,0,LAC,1.0,107,98,114.8,105.1,93.2,0.571,0.257,0.611,44.0,53.1,6.4,6.5,0.514,12.9,18.4,0.5,0.488,15.5,70.3,0.25
36,ATL,2011-01-04,0,SAC,1.0,108,102,111.5,105.3,96.9,0.308,0.231,0.61,54.7,57.5,6.2,3.7,0.564,17.7,27.8,0.256,0.474,8.8,74.0,0.115
37,ATL,2011-01-05,0,UTA,1.0,110,87,128.8,101.9,85.4,0.228,0.316,0.633,54.1,60.0,8.2,8.8,0.595,12.1,28.1,0.203,0.444,13.3,73.8,0.338
38,ATL,2011-01-08,1,IND,1.0,108,93,113.5,97.7,95.2,0.345,0.262,0.558,50.6,75.0,8.4,6.1,0.494,13.4,27.3,0.298,0.44,13.9,74.4,0.241
39,ATL,2011-01-12,0,TOR,1.0,104,101,110.5,107.3,94.1,0.388,0.375,0.555,54.8,54.3,7.4,2.9,0.494,13.0,25.6,0.313,0.568,13.1,88.2,0.111
40,ATL,2011-01-15,1,HOU,0.0,106,112,113.3,119.7,93.5,0.138,0.299,0.574,41.6,62.8,6.4,6.0,0.552,12.3,17.1,0.115,0.58,11.6,69.4,0.126
41,ATL,2011-01-17,1,SAC,1.0,100,98,111.6,109.4,89.6,0.241,0.241,0.545,44.7,64.1,3.3,12.0,0.5,9.8,21.1,0.205,0.451,6.4,63.8,0.163
42,ATL,2011-01-18,0,MIA,,93,89,101.2,96.8,83.2,0.147,0.326,0.46,51.1,52.6,8.7,4.3,0.437,9.0,30.0,0.105,0.409,15.1,75.0,0.338
43,ATL,2011-01-21,1,NOH,0.0,59,100,69.1,117.1,85.4,0.139,0.253,0.352,36.8,47.8,5.9,5.0,0.316,13.4,15.4,0.114,0.533,13.3,68.6,0.267
44,ATL,2011-01-22,0,CHA,1.0,103,87,122.6,103.6,84.0,0.315,0.26,0.62,52.1,51.4,8.3,6.8,0.568,11.7,16.1,0.274,0.506,8.9,80.0,0.117
45,ATL,2011-01-26,0,MIL,0.0,90,98,100.5,109.4,89.5,0.291,0.241,0.505,50.0,57.6,2.2,4.9,0.462,11.9,18.6,0.215,0.494,7.1,81.4,0.222
46,ATL,2011-01-28,1,NYK,1.0,111,102,123.1,113.1,90.2,0.28,0.232,0.602,57.5,52.4,7.8,6.2,0.555,11.5,35.1,0.244,0.506,10.6,76.7,0.161
47,ATL,2011-01-29,0,DAL,0.0,91,102,103.6,116.1,87.8,0.289,0.263,0.531,48.1,57.1,9.1,3.8,0.487,12.3,21.4,0.224,0.548,13.3,78.4,0.301
48,ATL,2011-02-02,1,TOR,1.0,100,87,118.0,102.7,84.7,0.118,0.316,0.625,52.6,71.4,4.7,6.8,0.618,14.0,19.4,0.079,0.442,9.4,75.6,0.231
49,ATL,2011-02-04,1,LAC,1.0,101,100,111.8,110.7,90.4,0.138,0.287,0.506,50.0,61.0,8.9,5.3,0.473,9.1,32.7,0.128,0.547,14.7,71.8,0.24
50,ATL,2011-02-05,0,WAS,1.0,99,92,115.9,107.7,85.4,0.479,0.178,0.56,57.7,47.1,5.9,4.6,0.5,9.2,27.8,0.356,0.545,9.6,83.3,0.104
51,ATL,2011-02-08,1,PHI,0.0,83,117,89.4,126.0,92.8,0.174,0.209,0.448,41.2,57.1,2.2,7.6,0.424,13.1,20.8,0.116,0.563,7.8,75.0,0.354
52,ATL,2011-02-12,1,CHA,0.0,86,88,99.8,102.2,86.1,0.22,0.28,0.478,47.6,78.8,7.0,1.7,0.433,7.2,18.6,0.183,0.455,10.3,78.0,0.218
53,ATL,2011-02-14,0,DET,1.0,94,79,123.4,103.7,76.1,0.306,0.258,0.668,60.0,74.3,9.2,3.9,0.621,18.5,36.0,0.274,0.457,12.3,75.0,0.214
54,ATL,2011-02-16,0,NYK,0.0,90,102,98.2,111.3,91.6,0.107,0.262,0.512,46.3,54.1,5.5,3.6,0.506,10.2,13.6,0.06,0.538,12.0,84.2,0.215
