,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
37,Zach LaVine,24.1,19.3,24.2,4.9
16,Eric Bledsoe,23.0,22.1,26.4,4.3
26,Zaza Pachulia,21.0,17.6,21.8,4.2
23,Robin Lopez,22.0,18.3,22.4,4.1
132,Norris Cole,21.0,13.1,17.1,4.0
79,Reggie Jackson,22.2,20.1,23.9,3.8
49,Jarrett Jack,28.6,23.9,27.6,3.7
166,Alonzo Gee,20.8,14.2,17.9,3.7
82,Dante Cunningham,21.5,14.9,18.5,3.6
110,Hollis Thompson,23.0,14.4,18.0,3.6
76,Steve Blake,20.1,13.1,16.6,3.5
93,Jameer Nelson,27.8,24.7,28.1,3.4
136,Lance Thomas,20.4,11.5,14.9,3.4
9,Kendrick Perkins,21.0,13.5,16.9,3.4
177,Brian Roberts,21.4,16.4,19.7,3.3
88,Maurice Harkless,20.2,13.7,17.0,3.3
168,Jonas Valanciunas,25.0,23.0,26.2,3.2
106,Bojan Bogdanovic,24.5,15.2,18.3,3.1
10,Sonny Weems,24.0,15.8,18.9,3.1
97,Shaun Livingston,20.4,15.2,18.2,3.0
13,Ricky Rubio,26.5,26.5,29.5,3.0
163,Joe Ingles,20.9,13.0,15.9,2.9
87,Kentavious Caldwell-Pope,25.6,16.6,19.5,2.9
139,Kyle Singler,26.0,16.0,18.9,2.9
56,Al-Farouq Aminu,20.5,16.0,18.9,2.9
103,Jodie Meeks,24.5,16.3,19.1,2.8
180,Kirk Hinrich,25.6,17.1,19.9,2.8
127,Gerald Green,20.1,17.4,20.1,2.7
75,Bismack Biyombo,21.0,15.1,17.8,2.7
36,Thabo Sefolosha,23.9,15.1,17.8,2.7
52,Marcus Morris,21.0,17.0,19.7,2.7
0,Beno Udrih,20.7,16.6,19.3,2.7
27,Brandon Knight,30.5,26.5,29.2,2.7
8,Marco Belinelli,22.4,16.0,18.7,2.7
61,Terrence Ross,22.7,15.5,18.2,2.7
137,Tyler Zeller,20.3,17.1,19.8,2.7
32,Marvin Williams,24.5,17.8,20.4,2.6
99,Beno Udrih,20.7,16.6,19.2,2.6
122,Courtney Lee,25.9,17.1,19.6,2.5
91,Jared Dudley,24.8,17.7,20.2,2.5
133,Caron Butler,24.0,16.7,19.1,2.4
39,Derrick Favors,25.0,25.7,28.1,2.4
90,Tony Allen,23.4,18.8,21.2,2.4
80,Tony Parker,30.2,29.9,32.2,2.3
89,Jrue Holiday,30.4,28.5,30.8,2.3
120,Isaiah Thomas,27.0,26.3,28.6,2.3
65,Ben McLemore,29.6,18.1,20.4,2.3
176,Matt Barnes,24.7,19.4,21.6,2.2
161,Mike Conley,33.6,30.7,32.9,2.2
165,Avery Bradley,23.7,16.3,18.5,2.2
59,Patrick Patterson,22.7,17.8,20.0,2.2
178,Randy Foye,25.5,18.9,21.0,2.1
160,Boris Diaw,25.4,19.5,21.6,2.1
154,Devin Harris,22.1,18.4,20.5,2.1
130,Gorgui Dieng,20.2,19.6,21.6,2.0
123,Andrea Bargnani,23.2,20.1,22.1,2.0
156,Jason Thompson,25.2,20.0,22.0,2.0
81,Marcus Smart,23.7,17.6,19.6,2.0
1,DeMarre Carroll,23.8,18.4,20.4,2.0
50,Danny Green,24.9,20.2,22.2,2.0
149,Jordan Clarkson,20.2,18.5,20.5,2.0
30,Derrick Williams,21.8,16.7,18.6,1.9
121,Metta World Peace,26.9,18.9,20.8,1.9
171,Harrison Barnes,27.8,19.6,21.5,1.9
86,Jason Terry,25.4,19.1,21.0,1.9
96,Corey Brewer,25.1,19.6,21.5,1.9
174,Taj Gibson,22.9,20.0,21.9,1.9
54,Nikola Vucevic,28.0,29.8,31.6,1.8
175,Nick Young,23.7,18.7,20.5,1.8
164,Jerryd Bayless,22.0,17.9,19.6,1.7
47,Kobe Bryant,27.3,31.5,33.2,1.7
68,Giannis Antetokounmpo,27.4,22.5,24.2,1.7
104,Ryan Anderson,23.5,21.2,22.9,1.7
64,Tayshaun Prince,28.3,18.7,20.4,1.7
73,DeMar DeRozan,35.1,29.3,31.0,1.7
146,Marcus Thornton,23.6,19.4,21.0,1.6
