,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
46,Kyle Korver,27.2,19.7,21.3,1.6
15,D.J. Augustin,25.0,20.1,21.7,1.6
100,Tobias Harris,23.4,21.0,22.5,1.5
119,Vince Carter,23.7,20.8,22.3,1.5
116,Mario Chalmers,27.5,20.1,21.6,1.5
144,Enes Kanter,20.6,19.5,21.0,1.5
6,Spencer Hawes,23.5,22.2,23.7,1.5
182,Marcin Gortat,29.4,28.4,29.9,1.5
31,Ramon Sessions,23.8,20.8,22.3,1.5
66,Nerlens Noel,28.9,27.5,29.0,1.5
58,Mario Chalmers,27.5,20.1,21.6,1.5
150,Patrick Beverley,23.1,17.6,19.0,1.4
98,Victor Oladipo,32.2,29.3,30.7,1.4
135,Langston Galloway,32.4,25.0,26.4,1.4
101,Brandon Bass,27.2,20.8,22.2,1.4
94,Dion Waiters,26.1,21.2,22.5,1.3
167,Rajon Rondo,31.1,31.7,33.0,1.3
43,Channing Frye,27.9,22.3,23.6,1.3
7,Kenneth Faried,26.4,27.4,28.6,1.2
70,Thaddeus Young,29.8,26.9,28.1,1.2
57,Gordon Hayward,28.6,24.7,25.9,1.2
162,Arron Afflalo,32.9,23.8,25.0,1.2
169,Khris Middleton,24.8,19.4,20.5,1.1
3,Danilo Gallinari,28.1,23.7,24.8,1.1
128,Rodney Stuckey,27.4,22.8,23.9,1.1
71,Brandon Jennings,32.1,31.3,32.4,1.1
28,Luis Scola,24.6,23.8,24.8,1.0
29,Raymond Felton,27.3,23.6,24.6,1.0
83,Jimmy Butler,29.2,23.0,24.0,1.0
38,Ersan Ilyasova,24.1,22.7,23.7,1.0
172,Amar'e Stoudemire,23.6,24.4,25.3,0.9
84,George Hill,29.3,23.2,24.1,0.9
158,O.J. Mayo,26.4,21.3,22.2,0.9
114,Nikola Pekovic,21.3,20.5,21.4,0.9
183,Lou Williams,24.1,22.1,23.0,0.9
42,Jeremy Lin,26.1,23.8,24.7,0.9
44,Amir Johnson,26.4,22.5,23.4,0.9
152,Jeff Green,31.2,24.4,25.2,0.8
22,Darren Collison,27.9,23.5,24.3,0.8
24,Andre Miller,23.1,20.4,21.2,0.8
95,Manu Ginobili,24.0,25.6,26.4,0.8
125,Trey Burke,29.4,24.1,24.9,0.8
69,Kemba Walker,32.4,31.6,32.4,0.8
11,Jose Calderon,28.6,24.3,25.0,0.7
18,Gerald Henderson,29.0,22.5,23.2,0.7
33,Draymond Green,23.3,22.1,22.8,0.7
126,Kyle Lowry,32.1,32.8,33.4,0.6
21,Andrew Bogut,24.6,24.6,25.2,0.6
134,Markieff Morris,25.2,23.3,23.9,0.6
138,Tyson Chandler,28.8,25.3,25.8,0.5
2,Trevor Ariza,31.7,25.9,26.3,0.4
62,Kevin Martin,28.3,24.9,25.3,0.4
148,Evan Turner,28.0,23.5,23.9,0.4
145,Eric Gordon,30.7,25.5,25.9,0.4
179,Kawhi Leonard,27.8,26.0,26.4,0.4
45,Brook Lopez,28.9,31.6,32.0,0.4
55,Jared Sullinger,24.6,25.8,26.1,0.3
170,Bradley Beal,30.8,25.9,26.2,0.3
107,Marc Gasol,33.4,33.2,33.5,0.3
5,Damian Lillard,37.0,36.6,36.9,0.3
124,Wesley Matthews,33.3,24.9,25.1,0.2
129,Zach Randolph,33.2,34.3,34.4,0.1
77,Chandler Parsons,32.5,27.2,27.3,0.1
102,Nicolas Batum,33.4,28.0,28.1,0.1
143,David West,30.3,28.7,28.7,0.0
151,Joe Johnson,35.0,28.4,28.4,0.0
147,Klay Thompson,32.5,28.1,28.1,0.0
92,James Harden,33.8,37.7,37.7,0.0
105,Greg Monroe,30.8,31.9,31.9,0.0
19,Andre Drummond,27.3,31.9,31.8,-0.1
117,Goran Dragic,29.2,27.8,27.7,-0.1
157,Pau Gasol,32.7,36.3,36.1,-0.2
35,Dwyane Wade,32.8,36.4,36.2,-0.2
74,Robert Covington,27.5,25.0,24.8,-0.2
112,Andre Iguodala,32.6,27.9,27.7,-0.2
12,Al Jefferson,33.6,38.2,38.0,-0.2
141,Tyreke Evans,31.7,31.2,30.9,-0.3
14,Roy Hibbert,28.3,27.5,27.2,-0.3
25,Luol Deng,35.5,28.5,28.2,-0.3
51,Jeff Teague,29.0,27.3,26.9,-0.4
115,Paul George,29.1,28.6,28.2,-0.4
48,Tim Duncan,29.4,35.7,35.3,-0.4
118,Paul Millsap,32.2,34.7,34.3,-0.4
34,John Wall,34.3,37.7,37.3,-0.4
63,Andrew Wiggins,36.2,28.2,27.6,-0.6
159,Chris Bosh,31.9,29.9,29.3,-0.6
173,DeMarcus Cousins,29.0,37.7,37.1,-0.6
72,Elfrid Payton,30.4,27.0,26.3,-0.7
85,Derrick Rose,32.7,37.1,36.4,-0.7
20,Serge Ibaka,29.6,28.4,27.6,-0.8
4,Stephen Curry,35.0,41.8,41.0,-0.8
109,David Lee,29.4,30.5,29.7,-0.8
17,Kevin Garnett,25.6,26.9,26.0,-0.9
131,Anthony Davis,32.4,42.5,41.2,-1.3
53,Rudy Gay,35.0,33.6,32.3,-1.3
108,Deron Williams,32.4,32.3,30.9,-1.4
153,Ty Lawson,31.5,30.9,29.4,-1.5
181,Joakim Noah,32.1,32.7,31.2,-1.5
40,Dwight Howard,32.8,40.4,38.8,-1.6
140,Russell Westbrook,32.6,42.2,40.6,-1.6
60,Dirk Nowitzki,31.8,34.0,32.0,-2.0
111,Kevin Durant,36.2,45.3,43.0,-2.3
113,Monta Ellis,37.0,36.2,33.9,-2.3
78,Michael Carter-Williams,30.9,33.0,30.5,-2.5
41,LaMarcus Aldridge,35.7,39.4,36.8,-2.6
155,Josh Smith,32.9,35.9,33.3,-2.6
67,Al Horford,34.0,35.0,32.4,-2.6
142,Carmelo Anthony,34.0,39.3,36.4,-2.9
