,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
6,Jarrett Jack,28.6,23.9,28.0,4.1
27,Joe Ingles,20.9,13.0,16.8,3.8
56,Norris Cole,21.0,13.1,16.7,3.6
33,Jameer Nelson,27.8,24.7,28.2,3.5
21,Hollis Thompson,23.0,14.4,17.9,3.5
30,Alonzo Gee,20.8,14.2,17.5,3.3
58,Kendrick Perkins,21.0,13.5,16.8,3.3
45,Dante Cunningham,21.5,14.9,18.1,3.2
49,Maurice Harkless,20.2,13.7,16.8,3.1
19,Bojan Bogdanovic,24.5,15.2,18.2,3.0
29,Brian Roberts,21.4,16.4,19.4,3.0
10,Marco Belinelli,22.4,16.0,18.7,2.7
47,Derrick Favors,25.0,25.7,28.2,2.5
18,Al-Farouq Aminu,20.5,16.0,18.5,2.5
57,Caron Butler,24.0,16.7,19.1,2.4
52,Jared Dudley,24.8,17.7,20.0,2.3
24,Ben McLemore,29.6,18.1,20.4,2.3
44,Randy Foye,25.5,18.9,21.0,2.1
39,D.J. Augustin,25.0,20.1,22.0,1.9
2,Corey Brewer,25.1,19.6,21.5,1.9
48,Jason Terry,25.4,19.1,20.9,1.8
46,Thaddeus Young,29.8,26.9,28.6,1.7
59,Marcin Gortat,29.4,28.4,30.1,1.7
50,Jrue Holiday,30.4,28.5,30.2,1.7
55,Brandon Jennings,32.1,31.3,33.0,1.7
36,Andrea Bargnani,23.2,20.1,21.8,1.7
60,Channing Frye,27.9,22.3,24.0,1.7
12,Nikola Vucevic,28.0,29.8,31.5,1.7
14,Marcus Thornton,23.6,19.4,21.0,1.6
15,Ryan Anderson,23.5,21.2,22.8,1.6
4,Victor Oladipo,32.2,29.3,30.9,1.6
7,Tobias Harris,23.4,21.0,22.4,1.4
43,Patrick Beverley,23.1,17.6,19.0,1.4
34,Rajon Rondo,31.1,31.7,33.0,1.3
9,Kenneth Faried,26.4,27.4,28.6,1.2
5,Danilo Gallinari,28.1,23.7,24.8,1.1
16,Ersan Ilyasova,24.1,22.7,23.8,1.1
25,Nerlens Noel,28.9,27.5,28.5,1.0
42,Ramon Sessions,23.8,20.8,21.7,0.9
0,Brook Lopez,28.9,31.6,32.5,0.9
53,Gordon Hayward,28.6,24.7,25.5,0.8
28,Darren Collison,27.9,23.5,24.3,0.8
38,Markieff Morris,25.2,23.3,24.0,0.7
41,Trey Burke,29.4,24.1,24.5,0.4
13,Eric Gordon,30.7,25.5,25.8,0.3
26,Gerald Henderson,29.0,22.5,22.8,0.3
3,Trevor Ariza,31.7,25.9,26.1,0.2
35,Bradley Beal,30.8,25.9,26.0,0.1
40,John Wall,34.3,37.7,37.6,-0.1
20,Joe Johnson,35.0,28.4,28.1,-0.3
31,Elfrid Payton,30.4,27.0,26.7,-0.3
17,James Harden,33.8,37.7,37.4,-0.3
32,Robert Covington,27.5,25.0,24.6,-0.4
8,Damian Lillard,37.0,36.6,36.1,-0.5
1,Tyreke Evans,31.7,31.2,30.6,-0.6
37,DeMarcus Cousins,29.0,37.7,37.1,-0.6
11,Rudy Gay,35.0,33.6,32.3,-1.3
22,Ty Lawson,31.5,30.9,29.5,-1.4
54,Anthony Davis,32.4,42.5,40.8,-1.7
51,Dwight Howard,32.8,40.4,38.6,-1.8
23,Josh Smith,32.9,35.9,33.3,-2.6
