,Datetime,Away,Home
1187,2016-04-09,Cleveland Cavaliers,Chicago Bulls
1188,2016-04-09,Golden State Warriors,Memphis Grizzlies
1189,2016-04-09,Phoenix Suns,New Orleans Pelicans
1190,2016-04-09,Minnesota Timberwolves,Portland Trail Blazers
1191,2016-04-09,Oklahoma City Thunder,Sacramento Kings
1192,2016-04-10,Utah Jazz,Denver Nuggets
1193,2016-04-10,Los Angeles Lakers,Houston Rockets
1194,2016-04-10,Brooklyn Nets,Indiana Pacers
1195,2016-04-10,Dallas Mavericks,Los Angeles Clippers
1196,2016-04-10,Orlando Magic,Miami Heat
1197,2016-04-10,Toronto Raptors,New York Knicks
1198,2016-04-10,Milwaukee Bucks,Philadelphia 76ers
1199,2016-04-10,Golden State Warriors,San Antonio Spurs
1200,2016-04-10,Charlotte Hornets,Washington Wizards
1201,2016-04-11,Charlotte Hornets,Boston Celtics
1202,2016-04-11,Washington Wizards,Brooklyn Nets
1203,2016-04-11,Atlanta Hawks,Cleveland Cavaliers
1204,2016-04-11,Houston Rockets,Minnesota Timberwolves
1205,2016-04-11,Chicago Bulls,New Orleans Pelicans
1206,2016-04-11,Los Angeles Lakers,Oklahoma City Thunder
1207,2016-04-11,Milwaukee Bucks,Orlando Magic
1208,2016-04-11,Sacramento Kings,Phoenix Suns
1209,2016-04-11,Dallas Mavericks,Utah Jazz
1210,2016-04-12,Miami Heat,Detroit Pistons
1211,2016-04-12,New York Knicks,Indiana Pacers
1212,2016-04-12,Memphis Grizzlies,Los Angeles Clippers
1213,2016-04-12,Oklahoma City Thunder,San Antonio Spurs
1214,2016-04-12,Philadelphia 76ers,Toronto Raptors
1215,2016-04-13,Miami Heat,Boston Celtics
1216,2016-04-13,Toronto Raptors,Brooklyn Nets
1217,2016-04-13,Philadelphia 76ers,Chicago Bulls
1218,2016-04-13,Orlando Magic,Charlotte Hornets
1219,2016-04-13,Detroit Pistons,Cleveland Cavaliers
1220,2016-04-13,San Antonio Spurs,Dallas Mavericks
1221,2016-04-13,Memphis Grizzlies,Golden State Warriors
1222,2016-04-13,Sacramento Kings,Houston Rockets
1223,2016-04-13,Utah Jazz,Los Angeles Lakers
1224,2016-04-13,Indiana Pacers,Milwaukee Bucks
1225,2016-04-13,New Orleans Pelicans,Minnesota Timberwolves
1226,2016-04-13,Los Angeles Clippers,Phoenix Suns
1227,2016-04-13,Denver Nuggets,Portland Trail Blazers
1228,2016-04-13,Atlanta Hawks,Washington Wizards
