,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
101,Vince Carter,23.7,20.8,22.6,1.8
151,Metta World Peace,26.9,18.9,20.7,1.8
46,Nikola Pekovic,21.3,20.5,22.3,1.8
30,Jason Thompson,25.2,20.0,21.8,1.8
96,D.J. Augustin,25.0,20.1,21.9,1.8
87,Harrison Barnes,27.8,19.6,21.4,1.8
33,Mario Chalmers,27.5,20.1,21.9,1.8
56,Andre Miller,23.1,20.4,22.1,1.7
69,Brandon Jennings,32.1,31.3,33.0,1.7
26,Nick Young,23.7,18.7,20.4,1.7
136,Derrick Williams,21.8,16.7,18.4,1.7
77,Kemba Walker,32.4,31.6,33.3,1.7
116,Kyle Lowry,32.1,32.8,34.4,1.6
20,DeAndre Jordan,29.5,28.1,29.7,1.6
29,Jordan Clarkson,20.2,18.5,20.0,1.5
103,Taj Gibson,22.9,20.0,21.5,1.5
34,Nerlens Noel,28.9,27.5,29.0,1.5
65,Mario Chalmers,27.5,20.1,21.6,1.5
4,Dion Waiters,26.1,21.2,22.7,1.5
50,Kenneth Faried,26.4,27.4,28.8,1.4
39,Randy Foye,25.5,18.9,20.3,1.4
35,Tobias Harris,23.4,21.0,22.4,1.4
120,Rodney Stuckey,27.4,22.8,24.2,1.4
78,Lance Stephenson,27.4,21.3,22.6,1.3
118,Ramon Sessions,23.8,20.8,22.1,1.3
75,D.J. Augustin,25.0,20.1,21.4,1.3
141,Marcin Gortat,29.4,28.4,29.6,1.2
138,Jeremy Lin,26.1,23.8,25.0,1.2
122,Jimmy Butler,29.2,23.0,24.2,1.2
86,Rajon Rondo,31.1,31.7,32.9,1.2
44,Kevin Martin,28.3,24.9,26.0,1.1
105,Langston Galloway,32.4,25.0,26.1,1.1
115,Ersan Ilyasova,24.1,22.7,23.8,1.1
16,Brandon Bass,27.2,20.8,21.9,1.1
145,Kyrie Irving,31.6,33.7,34.8,1.1
100,Amar'e Stoudemire,23.6,24.4,25.4,1.0
143,Jeff Green,31.2,24.4,25.4,1.0
61,Luis Scola,24.6,23.8,24.8,1.0
76,Draymond Green,23.3,22.1,23.0,0.9
132,Jamal Crawford,27.3,23.3,24.1,0.8
95,Raymond Felton,27.3,23.6,24.4,0.8
24,Andrew Bogut,24.6,24.6,25.4,0.8
67,George Hill,29.3,23.2,23.9,0.7
27,Kawhi Leonard,27.8,26.0,26.6,0.6
148,Lou Williams,24.1,22.1,22.7,0.6
94,Arron Afflalo,32.9,23.8,24.4,0.6
146,Mo Williams,24.9,21.3,21.9,0.6
144,Manu Ginobili,24.0,25.6,26.2,0.6
25,Jose Calderon,28.6,24.3,24.9,0.6
91,Tristan Thompson,29.1,24.4,24.9,0.5
14,Jeff Green,31.2,24.4,24.9,0.5
125,Channing Frye,27.9,22.3,22.8,0.5
55,Andre Drummond,27.3,31.9,32.4,0.5
99,Wesley Matthews,33.3,24.9,25.4,0.5
8,Danilo Gallinari,28.1,23.7,24.1,0.4
106,Markieff Morris,25.2,23.3,23.7,0.4
68,Darren Collison,27.9,23.5,23.9,0.4
112,Dwyane Wade,32.8,36.4,36.7,0.3
47,Andrew Wiggins,36.2,28.2,28.5,0.3
41,Marc Gasol,33.4,33.2,33.5,0.3
19,Nicolas Batum,33.4,28.0,28.1,0.1
131,Kevin Garnett,25.6,26.9,26.9,0.0
60,Goran Dragic,29.2,27.8,27.8,0.0
121,Zach Randolph,33.2,34.3,34.3,0.0
32,Robert Covington,27.5,25.0,25.0,0.0
22,Anderson Varejao,24.3,24.0,24.0,0.0
129,Bradley Beal,30.8,25.9,25.8,-0.1
90,Chandler Parsons,32.5,27.2,27.1,-0.1
49,David West,30.3,28.7,28.5,-0.2
102,Serge Ibaka,29.6,28.4,28.2,-0.2
17,Klay Thompson,32.5,28.1,27.9,-0.2
97,J.R. Smith,28.9,25.2,24.9,-0.3
58,Luol Deng,35.5,28.5,28.2,-0.3
31,Roy Hibbert,28.3,27.5,27.1,-0.4
64,Andre Iguodala,32.6,27.9,27.5,-0.4
45,Anderson Varejao,24.3,24.0,23.6,-0.4
71,Paul George,29.1,28.6,28.1,-0.5
54,Chris Bosh,31.9,29.9,29.4,-0.5
53,Pau Gasol,32.7,36.3,35.4,-0.9
5,Paul Pierce,31.3,30.1,29.2,-0.9
38,Tim Duncan,29.4,35.7,34.8,-0.9
1,DeMarcus Cousins,29.0,37.7,36.7,-1.0
110,John Wall,34.3,37.7,36.7,-1.0
123,Derrick Rose,32.7,37.1,36.0,-1.1
147,Russell Westbrook,32.6,42.2,41.1,-1.1
2,Al Jefferson,33.6,38.2,37.1,-1.1
139,Joakim Noah,32.1,32.7,31.3,-1.4
43,Deron Williams,32.4,32.3,30.7,-1.6
88,Chris Paul,34.1,42.5,40.9,-1.6
40,Dirk Nowitzki,31.8,34.0,32.3,-1.7
57,Kevin Durant,36.2,45.3,43.5,-1.8
10,Stephen Curry,35.0,41.8,39.9,-1.9
66,Monta Ellis,37.0,36.2,34.3,-1.9
15,Rudy Gay,35.0,33.6,31.6,-2.0
150,Josh Smith,32.9,35.9,33.3,-2.6
133,LaMarcus Aldridge,35.7,39.4,36.7,-2.7
137,Kevin Love,31.0,39.0,35.5,-3.5
6,Carmelo Anthony,34.0,39.3,35.8,-3.5
82,Blake Griffin,35.1,41.7,37.7,-4.0
149,LeBron James,37.9,49.8,43.8,-6.0
