,Player,Avg. MP,Avg. FP,Pred. FP,Diff. FP
117,Zach LaVine,24.1,19.3,23.9,4.6
108,Reggie Jackson,22.2,20.1,24.5,4.4
11,Zaza Pachulia,21.0,17.6,21.9,4.3
70,Robin Lopez,22.0,18.3,22.3,4.0
111,Hollis Thompson,23.0,14.4,18.3,3.9
83,Steve Blake,20.1,13.1,16.9,3.8
114,Brian Roberts,21.4,16.4,20.0,3.6
37,Luc Mbah a Moute,21.6,14.4,17.8,3.4
134,Lance Thomas,20.4,11.5,14.8,3.3
89,Jonas Valanciunas,25.0,23.0,26.2,3.2
142,Kyle Singler,26.0,16.0,19.1,3.1
42,Terrence Ross,22.7,15.5,18.6,3.1
21,Jodie Meeks,24.5,16.3,19.4,3.1
81,Bismack Biyombo,21.0,15.1,18.1,3.0
74,Richard Jefferson,21.6,14.1,17.1,3.0
73,Shaun Livingston,20.4,15.2,18.1,2.9
9,Beno Udrih,20.7,16.6,19.5,2.9
126,Kentavious Caldwell-Pope,25.6,16.6,19.5,2.9
12,Marcus Morris,21.0,17.0,19.8,2.8
98,Courtney Lee,25.9,17.1,19.9,2.8
119,Gerald Green,20.1,17.4,20.1,2.7
72,DeMar DeRozan,35.1,29.3,32.0,2.7
140,Ricky Rubio,26.5,26.5,29.2,2.7
107,DeMarre Carroll,23.8,18.4,21.0,2.6
104,Marvin Williams,24.5,17.8,20.4,2.6
23,Courtney Lee,25.9,17.1,19.7,2.6
7,Beno Udrih,20.7,16.6,19.2,2.6
63,Iman Shumpert,23.6,16.4,18.9,2.5
85,Jameer Nelson,27.8,24.7,27.2,2.5
59,Mike Conley,33.6,30.7,33.1,2.4
13,Marco Belinelli,22.4,16.0,18.4,2.4
124,Gorgui Dieng,20.2,19.6,22.0,2.4
130,Kirk Hinrich,25.6,17.1,19.5,2.4
48,Devin Harris,22.1,18.4,20.6,2.2
127,Tony Allen,23.4,18.8,21.0,2.2
36,Patrick Patterson,22.7,17.8,20.0,2.2
28,Wesley Johnson,24.1,16.8,19.0,2.2
18,Enes Kanter,20.6,19.5,21.6,2.1
80,Tayshaun Prince,28.3,18.7,20.8,2.1
51,Timofey Mozgov,20.2,18.3,20.4,2.1
0,Randy Foye,25.5,18.9,20.9,2.0
109,Tony Parker,30.2,29.9,31.9,2.0
113,Matt Barnes,24.7,19.4,21.4,2.0
128,Jared Dudley,24.8,17.7,19.7,2.0
135,Caron Butler,24.0,16.7,18.7,2.0
3,Kobe Bryant,27.3,31.5,33.5,2.0
93,Spencer Hawes,23.5,22.2,24.1,1.9
62,Marcus Thornton,23.6,19.4,21.3,1.9
92,Boris Diaw,25.4,19.5,21.4,1.9
52,Ben McLemore,29.6,18.1,20.0,1.9
84,Lance Stephenson,27.4,21.3,23.1,1.8
79,Danny Green,24.9,20.2,22.0,1.8
